City ID,City,Latitude,Longitude,Max Temperature (F),Humidity (%),Clouds (%),Wind Speed (mph),Country,DT,Date
778707,mehamn,71.0357,27.8492,18.59,88.0,48.0,12.91,NO,1644447564,2022-02-09 22:59:24
2191562,dunedin,-45.8742,170.5036,61.3,95.0,100.0,3.91,NZ,1644447526,2022-02-09 22:58:46
5354943,half moon bay,37.4636,-122.4286,77.05,25.0,0.0,4.61,US,1644447565,2022-02-09 22:59:25
3577154,oranjestad,12.524,-70.027,80.55,69.0,20.0,20.71,AW,1644447565,2022-02-09 22:59:25
3899539,antofagasta,-23.65,-70.4,69.08,75.0,40.0,4.5,CL,1644447566,2022-02-09 22:59:26
2169068,deniliquin,-35.5333,144.9667,69.01,47.0,54.0,7.85,AU,1644447566,2022-02-09 22:59:26
1728675,balabac,7.9868,117.0645,80.64,83.0,100.0,18.48,PH,1644447567,2022-02-09 22:59:27
1502422,kosh-agach,50.0,88.6667,-14.35,99.0,100.0,1.77,RU,1644447567,2022-02-09 22:59:27
191038,kitui,-1.367,38.0106,64.96,56.0,85.0,4.61,KE,1644447567,2022-02-09 22:59:27
2022572,khatanga,71.9667,102.5,-4.65,94.0,99.0,14.07,RU,1644447568,2022-02-09 22:59:28
3418910,upernavik,72.7868,-56.1549,-12.89,75.0,100.0,8.12,GL,1644447568,2022-02-09 22:59:28
255689,patitirion,39.15,23.8667,47.37,59.0,8.0,9.75,GR,1644447568,2022-02-09 22:59:28
1714733,dingle,10.9995,122.6711,74.16,89.0,47.0,8.7,PH,1644447569,2022-02-09 22:59:29
1282898,pokhara,28.2333,83.9833,48.78,79.0,85.0,4.36,NP,1644447569,2022-02-09 22:59:29
3652764,puerto ayora,-0.7393,-90.3518,82.36,76.0,74.0,7.61,EC,1644447569,2022-02-09 22:59:29
2121385,severo-kurilsk,50.6789,156.125,31.14,81.0,100.0,20.71,RU,1644447517,2022-02-09 22:58:37
2310533,acurenam,1.0322,10.6488,69.57,97.0,81.0,4.05,GQ,1644447570,2022-02-09 22:59:30
3670242,san alberto,7.7611,-73.3922,80.44,82.0,63.0,2.57,CO,1644447570,2022-02-09 22:59:30
2174444,bowen,-20.0167,148.2333,75.42,67.0,11.0,3.29,AU,1644447570,2022-02-09 22:59:30
5571109,shasta lake,40.6804,-122.3708,79.86,23.0,10.0,5.99,US,1644447572,2022-02-09 22:59:32
2015306,tiksi,71.6872,128.8694,-12.21,93.0,100.0,13.02,RU,1644447572,2022-02-09 22:59:32
2013921,ust-kuyga,70.0167,135.6,-33.61,96.0,99.0,9.4,RU,1644447573,2022-02-09 22:59:33
1651810,airai,-8.9266,125.4092,64.47,87.0,100.0,1.36,TL,1644447573,2022-02-09 22:59:33
3466704,castro,-24.7911,-50.0119,62.74,88.0,4.0,7.83,BR,1644447573,2022-02-09 22:59:33
3874787,punta arenas,-53.15,-70.9167,51.91,46.0,75.0,28.77,CL,1644447574,2022-02-09 22:59:34
3698304,chimbote,-9.0853,-78.5783,72.91,70.0,100.0,7.72,PE,1644447381,2022-02-09 22:56:21
2869994,molln,53.6333,10.6833,44.29,87.0,94.0,6.4,DE,1644447574,2022-02-09 22:59:34
6185377,yellowknife,62.456,-114.3525,-6.59,79.0,100.0,13.8,CA,1644447574,2022-02-09 22:59:34
2509553,villanueva de la serena,38.9766,-5.7974,46.24,71.0,0.0,1.32,ES,1644447575,2022-02-09 22:59:35
543246,kozhva,65.1073,57.0459,12.81,79.0,12.0,14.74,RU,1644447575,2022-02-09 22:59:35
1788852,xining,36.6167,101.7667,13.06,91.0,93.0,0.85,CN,1644447575,2022-02-09 22:59:35
3579761,baillif,16.0202,-61.7463,77.65,71.0,8.0,11.43,GP,1644447576,2022-02-09 22:59:36
3443061,chuy,-33.6971,-53.4616,67.15,72.0,28.0,9.17,UY,1644447576,2022-02-09 22:59:36
3382160,cayenne,4.9333,-52.3333,75.24,91.0,52.0,2.3,GF,1644447576,2022-02-09 22:59:36
1696983,osmena,10.5208,119.9258,79.41,80.0,50.0,20.24,PH,1644447577,2022-02-09 22:59:37
145724,lucapa,-8.4192,20.7447,66.0,79.0,99.0,1.92,AO,1644447577,2022-02-09 22:59:37
572665,bor,56.3567,44.0669,24.73,97.0,100.0,3.33,RU,1644447577,2022-02-09 22:59:37
1861416,ishigaki,24.3448,124.1572,62.73,100.0,20.0,2.3,JP,1644447445,2022-02-09 22:57:25
1028918,pemba,-12.974,40.5178,77.7,88.0,20.0,6.91,MZ,1644447307,2022-02-09 22:55:07
546105,nikolskoye,59.7035,30.7861,35.71,97.0,100.0,10.31,RU,1644447578,2022-02-09 22:59:38
2512186,puerto del rosario,28.5004,-13.8627,73.08,40.0,88.0,1.14,ES,1644447578,2022-02-09 22:59:38
3440777,rocha,-34.4833,-54.3333,64.76,76.0,5.0,7.85,UY,1644447446,2022-02-09 22:57:26
2018735,nyurba,63.2842,118.3319,-33.32,100.0,99.0,0.98,RU,1644447579,2022-02-09 22:59:39
110690,faya,18.3851,42.4509,57.72,79.0,2.0,4.88,SA,1644447579,2022-02-09 22:59:39
347796,sohag,26.557,31.6948,57.49,43.0,0.0,12.21,EG,1644447579,2022-02-09 22:59:39
3665202,aripuana,-9.1667,-60.6333,73.94,97.0,94.0,2.3,BR,1644447580,2022-02-09 22:59:40
2450173,taoudenni,22.6783,-3.9836,67.15,17.0,1.0,11.39,ML,1644447520,2022-02-09 22:58:40
3522013,palomares,17.15,-95.0667,64.31,85.0,100.0,4.16,MX,1644447580,2022-02-09 22:59:40
2445704,diffa,13.3154,12.6113,67.14,18.0,3.0,10.18,NE,1644447361,2022-02-09 22:56:01
1152222,mae hong son,19.3003,97.9685,54.28,48.0,8.0,1.66,TH,1644447581,2022-02-09 22:59:41
686090,asau,46.4333,26.4,36.52,90.0,19.0,7.05,RO,1644447581,2022-02-09 22:59:41
2019135,nizhniy kuranakh,58.8353,125.4869,-25.62,99.0,100.0,2.51,RU,1644447581,2022-02-09 22:59:41
3470871,barao de melgaco,-16.1944,-55.9675,75.72,97.0,98.0,3.4,BR,1644447582,2022-02-09 22:59:42
3860443,comodoro rivadavia,-45.8667,-67.5,73.26,28.0,40.0,12.66,AR,1644447392,2022-02-09 22:56:32
1701054,marawi,7.9986,124.2928,65.64,94.0,100.0,2.57,PH,1644447582,2022-02-09 22:59:42
2654970,brae,60.3964,-1.353,39.11,62.0,77.0,27.13,GB,1644447583,2022-02-09 22:59:43
3361934,saldanha,-33.0117,17.9442,64.26,91.0,4.0,1.57,ZA,1644447583,2022-02-09 22:59:43
2374583,bubaque,11.2833,-15.8333,78.17,75.0,28.0,10.69,GW,1644447583,2022-02-09 22:59:43
5072006,lincoln,40.8,-96.667,51.01,36.0,81.0,8.01,US,1644447538,2022-02-09 22:58:58
1253237,veraval,20.9,70.3667,67.87,51.0,4.0,12.41,IN,1644447584,2022-02-09 22:59:44
2018498,olovyannaya,50.95,115.5667,-20.63,100.0,86.0,3.96,RU,1644447584,2022-02-09 22:59:44
293825,qiryat shemona,33.2073,35.5721,51.62,87.0,66.0,12.59,IL,1644447584,2022-02-09 22:59:44
1282256,hithadhoo,-0.6,73.0833,81.72,74.0,51.0,12.44,MV,1644447585,2022-02-09 22:59:45
2163355,hobart,-42.8794,147.3294,71.26,51.0,20.0,13.8,AU,1644447351,2022-02-09 22:55:51
3466165,cidreira,-30.1811,-50.2056,71.94,70.0,30.0,12.88,BR,1644447585,2022-02-09 22:59:45
2992292,montlucon,46.3333,2.6,43.7,72.0,39.0,3.0,FR,1644447585,2022-02-09 22:59:45
3982292,tayoltita,24.0833,-105.9333,72.12,19.0,19.0,6.42,MX,1644447586,2022-02-09 22:59:46
2239862,malanje,-9.5402,16.341,62.24,87.0,90.0,4.03,AO,1644447586,2022-02-09 22:59:46
3424901,aasiaat,68.7098,-52.8699,5.45,94.0,100.0,19.46,GL,1644447586,2022-02-09 22:59:46
6111862,port hardy,50.6996,-127.4199,45.75,93.0,100.0,9.22,CA,1644447587,2022-02-09 22:59:47
6148373,sioux lookout,50.1001,-91.917,12.58,79.0,100.0,17.27,CA,1644447587,2022-02-09 22:59:47
6050066,la ronge,55.1001,-105.2842,8.85,78.0,100.0,5.75,CA,1644447587,2022-02-09 22:59:47
6620339,karratha,-20.7377,116.8463,84.22,67.0,32.0,7.83,AU,1644447588,2022-02-09 22:59:48
2126682,bilibino,68.0546,166.4372,-35.68,100.0,86.0,0.38,RU,1644447588,2022-02-09 22:59:48
264371,athens,37.9795,23.7162,48.42,65.0,40.0,6.91,GR,1644447060,2022-02-09 22:51:00
218680,boende,-0.2167,20.8667,78.82,46.0,100.0,3.33,CD,1644447589,2022-02-09 22:59:49
2121025,srednekolymsk,67.45,153.6833,-42.23,99.0,91.0,7.0,RU,1644447589,2022-02-09 22:59:49
2136825,isangel,-19.55,169.2667,78.98,96.0,100.0,35.43,VU,1644447589,2022-02-09 22:59:49
3444201,puerto quijarro,-17.7833,-57.7667,78.35,46.0,96.0,2.39,BO,1644447590,2022-02-09 22:59:50
3521342,playa del carmen,20.6274,-87.0799,78.89,73.0,29.0,8.19,MX,1644447562,2022-02-09 22:59:22
2156643,mount gambier,-37.8333,140.7667,62.51,67.0,77.0,6.91,AU,1644447590,2022-02-09 22:59:50
2112802,hasaki,35.7333,140.8333,39.6,67.0,100.0,15.08,JP,1644447590,2022-02-09 22:59:50
2074865,carnarvon,-24.8667,113.6333,73.47,83.0,0.0,6.91,AU,1644447591,2022-02-09 22:59:51
1819729,victoria,22.2855,114.1577,63.32,84.0,100.0,1.99,HK,1644447378,2022-02-09 22:56:18
1633419,padang,-0.9492,100.3543,75.25,61.0,100.0,5.7,ID,1644447591,2022-02-09 22:59:51
